index,q1,q2,q3,q4,response
389,아가사 박사님은 하이바라의 아버지를 어떻게 알아요?,아가사 박사님은 하이바라 아버지를 어떻게 알어?,아가사 박사님이 미야노 박사를 어떻게 알지?,아가사 박사님은 미야노 박사를 어떻게 알아?,발명품 발표회에서 두 세번 만났다고 해. 씩씩하고 좋은 남자였다고 하더라고.
390,하이바라의 어머니는 누구야?,아가사 박사님이 들은 하이바라 어머니의 이름은?,하이바라 어머니의 이름을 아가사 박사님은 어떻게 알고 있어?,아가사 박사님은 하이바라 어머니의 이름을 뭐라고 알고 있어?,엘레나야. 한번도 자신이 뭘 연구하고 있는지는 말하지 않았다고 해.
391,아카시 히로토의 양아버지를 죽인 것은?,아카시의 양아버지를 죽인 사람은?,아카시 히로토의 양아버지를 죽인 범인은?,아카시 히로토의 양아버지를 살해한 사람은?,아카시 히로토야.
392,아카시의 양아버지가 2층에서 죽을 위기에 처했는데도 불구하고 살려달라고 소리칠 수 없었던 이유는?,아카시의 양아버지가 소리를 지르지 못한 이유는?,아카시 히로토의 양아버지가 살려달라고 하지 못한 이유는?,아카시 히로토의 양아버지가 죽을 수 밖에 없었던 것은?,아카시 히로토는 양아버지가 밧줄을 입에서 놓으면 죽도록 장치해놓았고 시간이 지나면 힘이 다한 양아버지는 결국 입에서 밧줄을 놓아 스스로 자신을 죽이고 말았어.
393,아카시 히로토는 왜 살인을 저질렀어?,아카시 히로토가 살인을 저지른 이유는?,아카시 히로토의 범행동기는?,아카시 히로토의 살해동기는?,양아버지가 했던 말과 행동으로 아들인 자신도 아내도 아들이나 며느리로 본 게 아닌 그저 편한 잡일꾼으로밖에 여기지 않았다는 걸 깨닫고 분노해서 살인을 저질렀던 거야.
394,후루타 케이스케를 죽인 범인은?,후루타 케이스케를 죽인 범인은 누구야?,후루타 케이스케를 살해한 사람은?,후루타 케이스케를 살해한 사람은 누구야?,스기모토 히데키야.
395,스기모토 히데키의 살해동기는 뭐야?,스기모토 히데키의 살해동기는?,스기모토 히데키의 범행동기는 뭐야?,스기모토 히데키의 범행동기는?,스기모토 히데키씨의 약혼녀를 후루타 케이스케가 과속으로 몰던 차로 죽였기 때문이야. 그런데 후루타의 진술만으로 불기소 처분이 되어 앙심을 품었던 거지.
396,스기모토는 어떻게 후루타 케이스케를 죽였어?,스기모토 히데키는 어떻게 후루타 케이스케를 죽였어?,스기모토는 어떻게 후루타를 죽였어?,히데키는 어떻게 케이스케를 죽였어?,"가방을 끊은 후, 공사장으로 몰아내서 볼펜으로 찍은 후, 추락하게 만들었어."
397,스기모토 히데키가 경찰서로 연행된 이후 모리 아저씨가 먹은 음식은?,스기모토 히데키가 경찰서로 연행된 이후 모리 아저씨가 먹은 음식은 뭐야?,스기모토 가 경찰서로 연행된 이후 모리 아저씨가 먹은 음식은?,모리아저씨는 스기모토 씨가 경찰서로 연행된 후 뭘 먹었어?,라면가게가 문을 닫아서 컵라면을 끓여먹었어.
398,후지에다 미키오를 죽인 범인은?,후지에다 미키오를 죽인 범인은 누구야?,후지에다 미키오를 죽인 사람은?,후지에다 미키오를 죽인 사람은 누구야?,우에키 소하치야.
399,우에키 소하치가 왜 살인을 저지른 거야?,우에키 소하치가 왜 살인을 저지른 이유는?,우에키 소하치가 왜 범죄를 저지른 거야?,우에키 소하치가 범죄를 저지른 이유는?,돌아가신 마님이 사랑하던 정원을 지키고자 살인을 저질렀어.
400,모리 코고로 탐정님은 왜 추리할 때 항상 잠드시는 거야?,란네 아버지는 왜 항상 주무시는 채로 추리를 하는 거야?,모리 코고로는 왜 자면서 추리하는 거야?,란네 아버지는 왜 항상 추리하면서 자?,내가 시계형 마취총으로 재웠지
401,모리 코고로 탐정님은 어떻게 눈을 감고 추리를 할 수 있는 거야?,란네 아버지는 어떻게 자면서 말을 하고 추리를 할 수 있는 거야?,모리 코고로는 자면서 추리를 어떻게 할 수 있는 거야?,란네 아버지는 어떻게 자면서 추리를 할 수 있어?,내가 나비넥타이형 음성변조기를 써서 아저씨 대신 말하고 있어서 그렇지
402,터보 엔진을 부착한 스케이트 보드는 누가 만들어준 거야?,코난 네가 타고 다니는 스케이트 보드는 누가 만드신 거야?,코난 그 스케이트 보드는 네가 만든거야?,그 스케이트 보드는 누가 만들어줬어?,아가사 박사님이 만들어주신 거야
403,너의 정체를 아는 사람이 또 있어?,코난의 정체가 쿠도 신이치라는 걸 아는 사람이 얼마나 돼?,네가 쿠도 신이치인 사실을 누가 또 알고 있니?,나 빼고 누가 또 네 정체를 알아?,"너를 제외하곤 아가사 박사님, 핫토리 헤이지, 하이바라 아이 3명 뿐이야...비밀이니까 어디 가서 이야기하면 절대 안돼! 알았지?"
404,트로피컬 랜드에 가본 적이 있어?,트로피컬 랜드에서 무슨 일이 있었어?,트로피컬 랜드에 안 좋은 기억이 있어?,트로피컬 랜드를 왜 안 좋아해?,내가 거기서 검은 일당들에게 당했다니깐!
405,베이카 공원에서 어떻게 피해자가 형사인 걸 안거야?,베이카 공원 사건 피해자가 왜 형사라고 생각한거야?,베이카 공원 사건 때 형사가 피해자인 걸 어떻게 알았어?,베이카 공원에서 피해자가 왜 형사라고 생각한거야?,형사는 뭔가 메모를 할 때 경찰 수첩을 세로로 펼쳐서 적는 습관이 있잖아. 그걸 보고 알았지
406,베이카 공원 사건 범인 특징이 뭐야?,베이카 공원 사건 범인이 혹시 오른손잡이였나?,베이카 공원에서 범인이 무슨손잡이였지?,베이카 공원 사건 범인 기억해?,범인은 왼손잡이였어!
407,시라토리네 여동생 신랑이 어떤 사람이었더라?,시라토리네 여동생 남편이 누구였지?,시라토리 여동생 신랑이 어떤 사람이었는지 혹시 기억나?,시라토리네 여동생도 신랑이 참 괜찮았는데 어떤 사람이었더라?,인기 없는 화가였던 것 말고는 잘 기억이 안나는데?
408,코난 언제까지 란네 빌붙어살거야?,아직도 빌붙어사는 중이야?,오 이쪽은 빌붙어사는 코난 아닌가?,나도 너처럼 빌붙어살고 싶다 코난,빌붙어사는건 아니지! 나름 밥값은 하고 있다고~
409,베이카 공원 사건 당시 란 상태가 어땠었지?,베이카 공원 사건에서 란이 어떻게 됐었어?,베이카 공원 사건 당시 란 걱정 많이 했었잖아 왜 그랬던 거야?,란 누나가 베이카 공원 사건 때 어땠었는지 기억나?,란이 충격을 심하게 받아서 역행건망증에 걸렸었잖아 정말 많이 걱정했다구
410,진노 타마키가 왜 고소당했었죠?,진노 타마키라는 사람 왜 고소당했다고 했었죠?,타마키상 환자 가족들한테 고소당했었지?,진노 타마키 사건 기억나?,수술 미스로 환자 가족들한테 고소당했었지 그런데 진노 타마키는 왜?
411,란이 어떤 운동을 잘한다고 했었지?,란이랑 싸우면 내가 지겠지?,란이랑 싸워서 이길 수 있어?,란이랑 싸워서 이길 수 있는 사람이 몇이나 있을까?,란은 공수도 도대회에서 우승했을 정도로 강하다고! 아마 코고로 아저씨도 누나한테 이기기 쉽지 않을걸?
412,코난 란이 기억상실증에 걸렸을 때 신이치에 대해서 왜 그렇게 말한거야?,기억을 잃은 란이 신이치에 대해 물었을 때 왜 그렇게 대답했어?,란이 기억을 잃고 쿠도 신이치에 대해 물어봤을 때 그렇게 말한 이유가 뭐야?,란이 역행건망증에 걸렸을 때 신이치에 대해 그렇게 대답한 이유가 뭐니?,란을 제일 많이 생각하지만 그 마음을 솔직하게 말하지 못하는 사람이라도 한거 말이야? 그게 내 최선의 답변이라 생각하는데 이런 모습으론 말이야
413,보트 조종은 어디서 배운거야?,어떻게 보트도 조종할 수 있는 거야?,보트 조종하는 법은 누구한테 배웠어?,보트 운전은 또 어떻게 할 줄 아는 거야?,하와이에서 아버지한테 배운거야
414,코난 넌 도대체 정체가 뭐니?,코난 너는 정체가 뭐야?,네 정체를 밝혀 코난!,코난 네 정체를 까발리러 왔다.,알고 싶으시면 가르쳐 드릴게요. 저 세상에서요!
415,잠자는 코고로는 어떻게 지어진 별명이야?,명탐정 잠자는 코고로라는 별명은 왜 생긴거야?,잠자는 코고로라는 별명 어떻게 만들어진 거야?,잠자는 코고로가 뭐여?,시계형 마취총과 나비넥타이형 음섬변조기 그리고 내 뛰어난 추리 실력 덕분에 생긴 멋진 별명이야 순전히 내 덕이라구
416,쿠사카 히로나리씨 기억나?,쿠사카 히로나리 알아?,쿠사카 히로나리가 어떤 사람이었지?,쿠사카 히로나리에 대해 얼마나 알고 있지?,아 그 코고로 아저씨 팬이라던 시나리오 작가 말이지?
417,란 엄마랑 닮았던 그 설계사 기억나?,아프로디테호를 설계했던 사람 기억나?,란 어머니와 닮았던 아프로디테호 설계사 기억해?,아프로디테로 설계사가 누구야,아 아키요시 미나코 말이야? 그러고보니 여기저기서 란 어머니와 닮았다고 했었지
418,아프로디테호에 어떻게 초대받았었어?,아프로디테호에 초대 받는 방법 좀 알려줘,나도 아프로디테호에 가고 싶은데 어떻게 초대 받은 거야?,혹시 유명한 탐정이어서 아프로디테호에 초대받았던 거야?,아아 실은 스즈키 재벌의 회장이신 소노코의 부모님께서 초대받으신 거야. 우리는 그 덕분에 같이 초대 받은 거고
419,아프로디테호에서 소노코가 어디 갇혀 있었어?,아프로디테호에서 소노코가 냉동고에 갇혀 있었나?,소노코가 배 안에서 갇혀 있던 곳이 어디였지?,배 안에 갇힌 소노코를 발견한 곳이 어디야?,추운 곳에 갇혀 있다고 해서 처음에는 냉동고인 줄 알았는데 영안실에 있었지
420,아프로디테호 사건의 처음 피해자가 누구였어?,아프로디테호 안에서 제일 먼저 죽은 사람이 누구였지?,배 안에서 가장 먼저 발생한 피해자 이름이 뭐였지?,아프로디테호 사건의 맨 처음 피해자는?,타카이 사장이 죽은 지 30분 정도 뒤에 발견됐었지
421,왜 쿠사카라는 사람을 처음부터 의심했던 거야?,왜 쿠사카를 유력한 용의자라고 생각했지?,쿠사카가 의심스럽다고 생각한 이유가 뭐야?,쿠사카에게 수상한 점이라도 있는거야?,사건이 일어나기 전에 배멀미가 나다며 자리를 비웠거든. 그때 도청기를 설치한 게 아닐까 생각이 들었지
422,1학년 때 방과 후에 숨바꼭질 했던 기억나?,어렸을 때 숨바꼭질 했던 기억나?,어렸을 때 너가 숨바꼭질 하던 란을 찾았던 거 기억하지?,초등학교 때 숨바꼭질 했던 거 기억해?,아~ 기억하지. 그 때 란이 아무도 못 찾는 곳에 갇혀 있었는데 내가 찾았었잖아
423,란이 얼굴 빨개졌다고 했을 때 너가 했던 말 기억나?,예전에 얼굴 빨개지고 나서 란에게 뭐라 말했었지?,코난 너 얼굴 빨개지고 부끄러워서 란한테 했던 말 다시 해봐~,코난 얼굴이 빨개졌어~,뭐라는 거야 저녁 노을 때문에 그래~ 이 말 기다린 거 맞지?
424,범인이 스턴 그레네이드를 어떻게 구했을까?,스턴 그레네이드라는 게 그렇게 간단히 구할 수 있는 건가?,범인이 사용한 스턴 그레네이드는 어디서 났을까?,범인이 스턴 그레네이드를 구한 방법 혹시 알아?,요즘 세상에 못 구하는 게 없긴 하지 그리고 상대에게 쇼크를 주는 것 뿐이라면야 커다란 폭죽으로 대신해도 될 걸?
425,쿠사카와 미나코는 전화를 하고 있었는데 어떻게 범행을 저지를 수 있었던거지?,쿠사카는 전화를 했다는 알리바이 때문에 범인이 될 수 없지 않아?,쿠사카는 어떻게 범행을 저지른 순간에 전화를 할 수 있었을까?,쿠사카의 범행 수법이 뭘까?,쿠사카는 미리 녹음해 둔 음성을 전화기에 틀어놓았어. 물론 그 전에 자신이 말하고 있을 때 상대방이 말하는 것에 대해 방법을 생각해 놓았지.
426,쿠사카의 녹음 파일은 어떻게 된거야?,쿠사카가 녹음 파일을 지웠다고 했는데 어떻게 구했어?,쿠사카가 지운 녹음 파일을 새로 만든거야?,쿠사카가 녹음 파일을 지웠다고 하지 않았어?,"증거 조작이지, 내가 쿠사카의 목소리로 다시 녹음한거야. 물론 결정적인 증거는 따로 있다고!"
427,아프로디테호 사건의 진범은 모리 탐정님이 해결했는데 기분이 어때 코난?,이번 사건은 코고로 탐정한테 진 것 같은데?,코난 네가 항상 코고로 탐정보다 추리를 잘하는 건 아니었구나?,모리한테도 지고 ㅈ밥이었네 코난쉑 ㅋㅋㅋ,모리 아저씨한테 이런 날도 있어야지. 그래도 나 미궁을 모르는 탐정에 비할 바는 아니란 말이지!
428,사츠키 회 결승전 카루타는 왜 보기가 힘든거야?,사츠키 전통 카루타는 왜 결승전에서만 볼 수 있는 거야?,사츠키 20년 전통의 카루타는 왜 항상 볼 수는 없는 거야?,사츠키 회에서 자랑하는 결승용 카루타는 왜 자주 못 보는 거야?,20년이 지나면서 데미지를 많이 입어서 아낀다나봐
429,카루타가 혹시 뭐야?,카루타가 뭐임?,카루타에 대해 알려줘,카루타가 뭔지 말을 해줘야지,보통 정월에 많이 하는 우리나라 전통 카드 게임이야
430,아치와 회장의 징크스가 뭐였는지 기억나?,사츠키 회 회장의 징크스에 대해 알려줘,아치와 켄스케의 징크스에 대해 아는 것 있니?,아치와 회장의 징크스는?,아내인 사츠키의 중요한 대회가 있을 때마다 세차를 하면서 길흉을 점치는 젱크스가 있대. 생각보다 애처가인가봐 누구랑은 다르게
